announce	0.1111111111111111	[5, 0, 4]
announcement	-0.76	[3, 0, 22]
annoying	-1.0	[0, 0, 3]
answer	-0.25	[3, 0, 5]
anther	-1.0	[0, 0, 1]
anticipation	-1.0	[0, 0, 1]
antigen	-1.0	[0, 0, 2]
anxiety	0.0	[1, 0, 1]
anxious	-1.0	[0, 0, 1]
anymore	0.0	[1, 0, 1]
anytime	1.0	[1, 0, 0]
anytimr	1.0	[1, 0, 0]
anyways	1.0	[1, 0, 0]
apart	-1.0	[0, 0, 3]
apartment	-1.0	[0, 0, 1]
apologize	0.0	[1, 0, 1]
apology	-1.0	[0, 0, 2]
app	-1.0	[0, 0, 6]
appal	-1.0	[0, 0, 2]
apparently	-1.0	[0, 0, 4]
appealing	-1.0	[0, 0, 1]
appear	-0.42857142857142855	[2, 0, 5]
appearance	1.0	[1, 0, 0]
appease	-1.0	[0, 0, 1]
application	-1.0	[0, 0, 1]
appreciate	0.5714285714285714	[11, 0, 3]
appreciated	1.0	[2, 0, 0]
approach	-1.0	[0, 0, 4]
approachable	-1.0	[0, 0, 2]
appropriate	-1.0	[0, 0, 5]
appropriately	-1.0	[0, 0, 2]
approve	-1.0	[0, 0, 2]
approx	1.0	[1, 0, 0]
approximately	-1.0	[0, 0, 1]
apron	-1.0	[0, 0, 1]
arctic	-1.0	[0, 0, 1]
area	-0.75	[2, 0, 14]
arena	1.0	[1, 0, 0]
arguement	-1.0	[0, 0, 1]
arise	1.0	[1, 0, 0]
arm	-1.0	[0, 0, 1]
armrest	-1.0	[0, 0, 1]
arrange	0.0	[1, 0, 1]
arrangement	0.3333333333333333	[2, 0, 1]
array	1.0	[1, 0, 0]
arrival	-0.5	[2, 0, 6]
arrive	-0.574468085106383	[20, 0, 74]
arrow	-1.0	[0, 0, 1]
artist	1.0	[1, 0, 0]
as	0.0	[2, 0, 2]
aside	-1.0	[0, 0, 1]
ask	-0.6330275229357798	[20, 0, 89]
asleep	1.0	[1, 0, 0]
aspect	1.0	[1, 0, 0]
assertive	1.0	[1, 0, 0]
assign	-0.5	[1, 0, 3]
assignment	-1.0	[0, 0, 1]
assist	-0.3333333333333333	[1, 0, 2]
assistance	0.0	[4, 0, 4]
assume	-1.0	[0, 0, 4]
assure	-1.0	[0, 0, 1]
astonished	0.0	[1, 0, 1]
atrocious	-1.0	[0, 0, 2]
attach	-1.0	[0, 0, 2]
attempt	-1.0	[0, 0, 7]
attendance	1.0	[4, 0, 0]
attendant	-0.06060606060606061	[31, 0, 35]
attendent	-1.0	[0, 0, 1]
attention	0.5	[3, 0, 1]
attentive	0.5	[6, 0, 2]
attitude	1.0	[2, 0, 0]
auction	1.0	[2, 0, 0]
audible	-1.0	[0, 0, 1]
audio	-1.0	[0, 0, 4]
austere	1.0	[1, 0, 0]
authority	-1.0	[0, 0, 4]
auto	1.0	[1, 0, 0]
automatic	-1.0	[0, 0, 1]
automatically	-1.0	[0, 0, 1]
avail	-1.0	[0, 0, 1]
availability	-1.0	[0, 0, 1]
available	-0.3157894736842105	[13, 0, 25]
availablevery	-1.0	[0, 0, 1]
average	0.3333333333333333	[2, 0, 1]
avoid	-1.0	[0, 0, 3]
await	-1.0	[0, 0, 2]
awake	-1.0	[0, 0, 1]
aware	0.0	[3, 0, 3]
away	-0.7777777777777778	[1, 0, 8]
awesome	-1.0	[0, 0, 1]
awful	-0.8666666666666667	[1, 0, 14]
awhile	-0.3333333333333333	[1, 0, 2]
b	-1.0	[0, 0, 3]
b757	-1.0	[0, 0, 1]
baby	0.0	[1, 0, 1]
back	1.0	[1, 0, 0]
backpack	-1.0	[0, 0, 2]
backseat	-1.0	[0, 0, 1]
backup	-1.0	[0, 0, 1]
bad	-0.8181818181818182	[5, 0, 50]
badly	-1.0	[0, 0, 3]
bag	-0.8421052631578947	[6, 0, 70]
bagage	-1.0	[0, 0, 2]
baggae	-1.0	[0, 0, 1]
baggage	-0.9069767441860465	[2, 0, 41]
bagpack	-1.0	[0, 0, 1]
bagsa	-1.0	[0, 0, 1]
baguette	1.0	[1, 0, 0]
